name,description,specializations,expertises,premierPartner,initiatives,products,regions
吉積情報株式会社,共にイノベーションを歩む良きパートナーとして. 吉積情報株式会社は、2008年に当時の Google エンタープライズパートナーに認定 ...,Work Transformation - SMB,AppSheet,False,Cloud Search,"Professional Services Organization, Google Cloud Platform, Google Workspace","JAPAN_REGION, GLOBAL_REGION"
CENTER FOR CREATIVE TRAINING ltd,"Center for Creative Training (CCT) specializes in teacher trainings, personalised technological solutions and programs for educational institutions ...",Education - Services (Professional Development Path),Education,False,,"Google Workspace, Chrome, Google Workspace for Education",EMEA_REGION
Max Kelsen,Max Kelsen is a Machine Learning and Artificial Intelligence solutions company. We are unrivalled experts in Machine ...,Machine Learning - Services,Healthcare & Life Sciences,False,ISV Solution Connect,"Professional Services Organization, Google Cloud Platform","APAC_REGION, GLOBAL_REGION"
YASH Technologies Inc.,YASH Technologies focuses on enabling its customers to succeed and digitally transform themselves. As a leading technology ...,,,False,,Google Cloud Platform,APAC_REGION
MHP Management- & IT-Beratung GmbH,"As a technology and business partner, MHP has been digitizing the processes and products of its around 300 mobility and manufacturing sector ...",,,False,,Google Cloud Platform,EMEA_REGION
"Marucco, Stoddard, Ferenbach & Walsh, Inc.","MSF&amp;W is a BEP certified, woman-owned IT consulting firm founded in Springfield, Illinois in 1991. At MSF&amp;W, our people ...",,,False,,Google Cloud Platform,NA_REGION
Bitstream Consulting LLC,"Managed services - IT, Cloud and telecommunications ... Atlanta&#39;s IT and Telecommunications Specialist ... Attachment ...",,,False,,Google Workspace,NA_REGION
FortyAU,"Specializing in custom software, research-driven development, cloud migrations and optimizations, and data pipelines for ML/AI--based in Nashville ...",,,False,,Google Cloud Platform,NA_REGION
CorrDyn,CorrDyn is a data-driven technology consultancy that enables scalable and affordable growth. We help our clients leverage ...,,,False,,Google Cloud Platform,NA_REGION
SCALIO,"Founded in 2011, Scalio is a global digital product agency headquartered in San Francisco. We design, build and scale ...",,,False,,Google Cloud Platform,GLOBAL_REGION
Pindrop,"In an increasingly digital world, Pindrop lets people use their voice to seamlessly connect to, enter and unlock new experiences while helping ...",,,False,ISV Solution Connect,Google Cloud Platform,GLOBAL_REGION
ACT,"ACT is a mission-driven, nonprofit organization dedicated to helping people achieve education and workplace success ...",,,False,ISV Solution Connect,Google Workspace,GLOBAL_REGION
Pear Deck,"Founded by educators for educators, Pear Deck gives teachers and trainers superpowers to engage and assess every student in every row across ...",,,False,Google for Education Integrated Solutions,Google Workspace,GLOBAL_REGION
FullStory,"Deliver exceptional experiences by letting our easy-to-use, intelligent software pinpoint when, where, and how user struggle is affecting your ...",,,False,ISV Solution Connect,Google Cloud Platform,GLOBAL_REGION
VIZOR,VIZOR helps K-12 School Districts manage thousands of Chromebooks and other IT assets like projectors and Smartboards ...,,,False,,Google Workspace,GLOBAL_REGION
Daugherty Business Solutions,Daugherty Business Solutions creates technologically diverse solutions and delivers new and significant revenue streams while streamlining ...,,,False,,Google Cloud Platform,NA_REGION
TeacherMade.com,"Ready to take your classroom to the next level? With TeacherMade, teachers can create engaging digital interactives, assign ...",,,False,,Google Workspace,GLOBAL_REGION
Equifax,"As a global data, analytics, and technology company, we play an essential role in the economy by helping companies in diverse industries such as ...",,,False,ISV Solution Connect,Google Cloud Platform,GLOBAL_REGION
SystemsN,"IT services company located in Huntsville, AL. ... Industries: Consumer Packaged Goods, Education, Financial Services ...",,,False,,Google Workspace,NA_REGION
Genomenon,Genomenon powers evidence-based precision medicine by connecting patient DNA with the scientific research used to diagnose and treat cancer ...,,,False,,Google Cloud Platform,GLOBAL_REGION
Arreya Digital Signage Service,"ARREYA® Digital Signage Content Management Software Service is a cost effective platform that lets you easily and remotely create, edit, and ...",,,False,ISV Solution Connect,Google Cloud Platform,GLOBAL_REGION
Wizards Integration LTD,Wizards helps you take advantage of the tools you need to stay ahead of the competition. In today&#39;s ever-changing market ...,,,False,,Google Cloud Platform,EMEA_REGION
Bedroc,Bedroc&#39;s technology advisory and consulting strategy services accelerate critical initiatives resulting in tangible business value ...,,,False,,Google Cloud Platform,NA_REGION
Edgenexus,We are a load balancing and Application Security company who are passionate about our products and our customers ...,,,False,,Google Cloud Platform,GLOBAL_REGION
"Clearsense, Inc.","Clearsense is committed to leading digital transformation in healthcare with 1Clearsense, a cloud-based, AI-enabled, and HITRUST-certified data ...",,,False,,Google Cloud Platform,GLOBAL_REGION
Oasis Digital,Oasis Digital is a Google Cloud Partner you can trust to improve your software performance and solve business challenges ...,,,False,,Google Cloud Platform,NA_REGION
Dematic,"How We Power the Future of Commerce. Dematic is your trusted partner in designing, building, and supporting intelligent automated solutions ...",,,False,ISV Solution Connect,Google Cloud Platform,GLOBAL_REGION
Beservices,¿Qué pasaría si pudieras resolver todos tus retos tecnológicos con un solo clic? ¿Y si pudieras contar con el apoyo de ...,,"Industrial Goods & Manufacturing, Data integrations, Google Cloud Analytics, Looker BI Modernization, VM Migration",False,,"Google Cloud Platform, Google Workspace","EMEA_REGION, GLOBAL_REGION"
Thales Services Numériques,Thales Services Numériques est une ESN qui évolue au sein d&#39;un groupe industriel leader mondial de la protection de la donnée digitalisée ...,,"Google Cloud Compute, Google Cloud Architecture Framework, Google Cloud Networking, Google Cloud Identity & Security",False,,"Google Cloud Platform, Google Workspace, Chrome","EMEA_REGION, GLOBAL_REGION"
True Internet Data Center Company Limited,True Internet Data Center (True IDC) is the leading carrier neutral data center and cloud service provider. We manage several ...,,"Data Warehouse Modernization, Healthcare & Life Sciences, Industrial Goods & Manufacturing, Google Cloud Compute",False,"Cloud Interconnect, ISV Solution Connect","Google Cloud Platform, Professional Services Organization, Google Workspace","APAC_REGION, GLOBAL_REGION"
Dataholic,Dataholic is an IT company that helps in transforming your organization into an intelligent enterprise guided by analytics and insights ...,Work Transformation - SMB,"Work Transformation, Healthcare & Life Sciences",False,,"Google Workspace, Google Cloud Platform",EMEA_REGION
CORAISE Inc.,"(주)코레이즈홀딩스의 목표는 고객과 함께 Co-Raise 하여. 고객이 신뢰하는 파트너, Total IT Consulting 기업이 되는 것입니다. ​ ...",,"Google Cloud Productivity, Industrial Goods & Manufacturing, Retail & Wholesale, Small & Medium Business, Energy & Utilities, Gaming",False,,"Google Workspace, Google Workspace for Education, Chrome","APAC_REGION, GLOBAL_REGION"
SOLWIT SA,Solwit enables innovation and helps to solve complex industry challenges. We support our customers at the entire software ...,,"Google Cloud Analytics, Google Cloud App Dev & Monitoring, Mobile application development, Custom-built app migration, Modernize Legacy Applications, Cloud Native Application Development",False,,"Google Cloud Platform, Google Workspace","EMEA_REGION, GLOBAL_REGION"
intelia,"intelia, an Australian owned data consultancy, connects you to your data to drive understanding, develop leading-edge insights and apply ...",Data Analytics - Services,"Google Cloud Analytics, Data Warehouse Modernization, Cloud Natives, Financial Services, Streaming Data Analytics",False,Looker,Google Cloud Platform,"APAC_REGION, GLOBAL_REGION"
absolut technologies,"We are an audio and video integration company that provide strategy, management, technologie and global support. On ...",,,False,,"Google Workspace, Google Workspace for Education",LATAM_REGION
easyG Cloud,"﻿Incorporated in 1985, USA Corp has been a Google Cloud Partner for many years. Our team includes Google Certified ...",,,False,,Google Workspace,NA_REGION
Beyond Technology,Companies struggle to reinvent themselves. Beyond Technology integrates technology and services to enable innovative ...,,,False,,Google Cloud Platform,"LATAM_REGION, EMEA_REGION, NA_REGION"
Sky.One,"A Sky.One entrega uma camada de inteligência em Cloud Computing, trazendo benefícios para quem está migrando para a nuvem ou otimizando ...",,,False,,Google Cloud Platform,LATAM_REGION
Makers of ToogleBox,ISP Cloud Services Inc. is an Independent Software Provider. The company offers Value Added Services on top of Cloud ...,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
"Office Depot, Inc","Office Depot provides the products, solutions and services your business needs to be more productive and successful ...",,,False,,"Chrome, Google Workspace",NA_REGION
CityWorks USA LLC,"Partner de Google certificado para ofrecer servicios de Google Workspace, Google Cloud Platform y Google Cloud. MISIÓN ...",,,False,,"Google Cloud Platform, Google Workspace",LATAM_REGION
NEXTSOLUTION,"NEXTSOLUTION es una empresa dedicada a brindar Soluciones Informáticas, contemplando las necesidades específicas de cada cliente ...",,,False,,Google Workspace,LATAM_REGION
Generis Enterprise Technology Limited,"Generis is a leader in content and information management systems, specializing in proven solutions for regulated industries ...",,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
FluentData,"We are a group of seasoned data and analytics consultants and engineers, with a passion for excellence. We strive to do ...",,,False,,Google Cloud Platform,LATAM_REGION
Kinect Consulting,"Kinect Consulting helps companies unleash the full potential of the cloud, supporting every aspect of the cloud journey, from high-level strategy ...",,,False,,Google Cloud Platform,NA_REGION
CloudLabs LLC,CloudLabs is a virtual platform based on virtual laboratories and learning units that allow students to carry out more than 600 practices in STEM ...,,,False,,"Google Workspace for Education, Google Workspace","NA_REGION, GLOBAL_REGION, LATAM_REGION"
Alixa Business Group Inc,"Alixa Business Group Inc is an IT services, consulting and business solutions organization that has been partnering with many of the world&#39;s largest ...",,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
e360,"e360 is an award-winning IT consultancy specializing in advanced cloud-first solutions, automation, security, IT infrastructure, and virtualization ...",,,False,Actifio Initiative,"Google Cloud Platform, Google Workspace, Professional Services Organization","NA_REGION, GLOBAL_REGION"
EON Igniting Business,"Desde Desde 2015 proveemos Consultores Especialistas Desde 2015 proveemos Consultores Especialistas para brindar Soluciones de TI, con ...",,,False,Actifio Initiative,"Google Cloud Platform, Professional Services Organization, Google Workspace","LATAM_REGION, GLOBAL_REGION"
Knoldus,World&#39;s largest team of Functional Programming and Fast Data Intelligence Organization focused on creating customized high-performance ...,"Cloud Migration - Services, Application Development - Services","Custom-built app migration, Improve software delivery pipeline, Data Warehouse Modernization, Data Lake Modernization",False,,Google Cloud Platform,"APAC_REGION, NA_REGION, GLOBAL_REGION"
Datafy,"Datafy is a leading data, analytics and digital media company that helps you take control. Our global team of experts provides ...",Data Analytics - Services,"Advertising & Marketing, Retail & Wholesale, Small & Medium Business, Data integrations, Data Warehouse Modernization, Data Lake Modernization, Data processing, Google Cloud Analytics",False,,Google Cloud Platform,"EMEA_REGION, GLOBAL_REGION"
グリー株式会社,"Attachment Name: GREE_Logo ... Industries: Consumer Packaged Goods, Education, Financial Services, Other, Advertising ...",,"Cloud Native Application Development, Google Cloud Databases, Google Cloud Compute, Media & Entertainment, Build with Google, Gaming, Google Cloud Networking, Content Delivery",False,,Google Cloud Platform,"JAPAN_REGION, GLOBAL_REGION"
Kato Solutions,"Kato Solutions is a Google Cloud Platform and Looker certified partner who provides Data, BI, Analytics and Reporting solutions and services to ...",,"Looker Delivery Verification Training, Looker BI Modernization, Looker Embedded Analytics, Streaming Data Analytics, Data integrations, Data Lake Modernization, Data processing",False,,"Google Cloud Platform, Google Cloud Training",APAC_REGION
"Senti Techlabs, Inc.","Established in 2015, Senti AI, is the premier enterprise partner for artificial intelligence innovations in Southeast Asia. We ...",Machine Learning - Services,"Consumer Packaged Goods, Healthcare & Life Sciences, Conversational Design, Government, Google Cloud ML & ML APIs, Document AI, Retail & Wholesale",False,,Google Cloud Platform,"GLOBAL_REGION, APAC_REGION"
NIX,"NIX is a global software development company that delivers services to leading companies from various business verticals, dynamically ...",,"eCommerce app modernization, Mobile application development",False,,Google Cloud Platform,NA_REGION
Digital Family,Digital Family : Aliados en transformación educativa y ciudadanía digital. Aliados estratégicos de Google for Education ...,Education - Services (Professional Development Path),Education,False,,"Chrome, Google Workspace, Google Workspace for Education",LATAM_REGION
Equinix Spain,"Equinix Spain is a cloud provider company specialized in design, implementation and management of solutions based on cloud ...",,,False,,Google Cloud Platform,"GLOBAL_REGION, LATAM_REGION"
株式会社grasys,私達はお客様の大切なインフラをお預かりし安定運用し続けることを目的とした事業をしています。 インフラなので「守る」ことは当然 ...,Infrastructure - Services,"Google Cloud Analytics, Open Source Databases with Google Cloud, Enterprise Databases Migration, Google Cloud Databases, Google Cloud Compute, Google Cloud Networking, Content Delivery, Data Lake Modernization, Data processing",False,Looker,Google Cloud Platform,"JAPAN_REGION, GLOBAL_REGION"
Emergys,We offer innovative business solutions to help our customers on their digital transformation initiatives and on their journey to cloud ...,,"Business & Professional Services, Conversational Design, Google Cloud Analytics, Cloud Native Application Development, Custom-built app migration, Google Cloud Compute, Google Cloud ML & ML APIs",False,,Google Cloud Platform,LATAM_REGION
NST,NST-Group es una empresa innovadora con perfil disruptivo dedicada al desarrollo de soluciones tecnológicas con foco en servicio gestionado ...,,Education,False,,"Google Workspace, Google Cloud Platform, Google Workspace for Education, Chrome",LATAM_REGION
"Groovenauts, Inc.",Groovenauts develops an enterprise-focused cloud service called MAGELLAN BLOCKS that makes it possible to use AI and quantum computing ...,,Education,False,,"Google Cloud Platform, Chrome, Google Workspace, Google Workspace for Education","JAPAN_REGION, GLOBAL_REGION"
"Exabeam, Inc.",Exabeam is a global cybersecurity leader that created New-Scale SIEMTM for advancing security operations. Built for security ...,,"Healthcare & Life Sciences, Security Analytics & Operations, Business & Professional Services, Financial Services, Energy & Utilities",False,ISV Solution Connect,"Google Cloud Platform, Google Workspace","GLOBAL_REGION, NA_REGION"
AXMOS TECHNOLOGIES,"At AXMOS Technologies, we help your company to transition between your local environments to the cloud and also from the cloud to the edge ...",Infrastructure - Services,,False,,"Chrome, Google Cloud Platform, Google Workspace for Education, Google Workspace","LATAM_REGION, GLOBAL_REGION"
Fortinet,"Fortinet adaptive cloud security for Google Cloud provides consistent, best-in-class enterprise security to Google Cloud-based environments ...",,"Application Security, Healthcare & Life Sciences, Financial Services, Retail & Wholesale, Telecommunications",False,ISV Solution Connect,Google Cloud Platform,"GLOBAL_REGION, NA_REGION"
Hometown Design Studio,"Our team of experienced design professionals offer a full range of marketing services. From traditional marketing, such ...",,,False,,Google Workspace,NA_REGION
StratusGrid,"StratusGrid is a cloud-native IT and DevOps company offering Cloud Services, Software Development, and Consulting ...",,,False,,,
Damani Data,"Damani Data is a data centric, client focused advisory firm. We are a full service, digital and analytics consulting firm dedicated ...",,,False,,,
Shadow-Soft,"Shadow-Soft helps growing software companies scale infrastructure to meet user demand, accelerate time to market, and avoid expensive ...",,,False,,,
Teletrac Navman,Teletrac Navman is a global leader in GPS-based fleet optimization products and services. Our technology currently tracks ...,,,False,,,
Thirsty Lemur Consulting,Thirsty Lemur Consulting specializes in web hosting for personal and small business sites. We offer a wide range of services ...,,,False,,,
NielsenIQ (NIQ),"NIQ, the world&#39;s leading consumer intelligence company, reveals new pathways to growth for retailers and consumer goods manufacturers ...",,,False,ISV Solution Connect,Google Cloud Platform,GLOBAL_REGION
leanpowertools.com,LEA!N is a powerful accelerator to G Suite business users to aide in improving quality and increasing at lower cost! Developed ...,,,False,,,
Anonshells LLC,Anonshells is a boutique cloud and cloud security consultancy focusing primarily in the area of GCP and hybrid cloud migration and deployment ...,,,False,,,
Qualtop,"Somos una empresa dedicada a apoyar a nuestros clientes en su camino hacia la transformación digital y la sostenibilidad, a través del desarrollo ...",Cloud Migration - Services,,False,,Google Cloud Platform,LATAM_REGION
Implemented Today LLC,We help our clients to optimize business operations. We focus on CRM implementation and Business Intelligence. We ...,,,False,,,
Slideform,Automate your data-driven presentations and starting generating QBRs with one click! Our platform is designed to pull data ...,,,False,,Google Workspace,GLOBAL_REGION
Majorkey Technologies,"Applying over 20 years of experience, we guide our clients through a complex technology landscape to arrive at simple, smart choices that we ...",,,False,,,
Great Software Laboratory Pvt. Ltd.,"We solve our client&#39;s complex business problems, by delivering seamless customer experience, actionable insights and business definiteness ...",,,False,,,
ZYZYGY,ZYZYGY is an Enterprise Architecture consulting company working with customers to effectively streamline their business operations through the ...,,,False,,Google Cloud Platform,"NA_REGION, LATAM_REGION"
Woobot,Woobot connects your teams with their important Salesforce or FinancialForce data so they can get things done. Get started at https://woobot.io ...,,,False,,Google Workspace,GLOBAL_REGION
Summa Financial Technology,Summa is a cloud native platform designed to address current and evolving investment management requirements. Summa ...,,,False,,,
Bitwise Inc.,"Bitwise, a Data Management company, uses over 20 years of Enterprise Data Management experience to help bridge gaps between traditional ...",,,False,,Google Cloud Platform,APAC_REGION
Windval Technology Solutions LLC,Windval is a technology consulting organization delivering advisory services and custom technical solutions that enable enterprise organizations ...,,,False,,,
Platform Digital,"Hi, we&#39;re Platform Digital. We are a digital marketing partner based in Milwaukee, Wisconsin. We help brands leverage ...",,,False,,,
"Visible.vc, Inc","Visible is a stakeholder reporting platform used by over 2,000 businesses. Keep all of your team members, investors and ...",,,False,,,
NXGN,"We built NXGN to fill market gap, hence our name! NXGN (phonetically “Next-Gen”) represents our never-ending journey ...",,,False,,,
EPI-USE Labs,EPI-USE Labs offers a full set of solutions aimed at solving the toughest SAP challenges. ... Value through innovation ...,,,False,,,
VIA Studio,"Storytelling through branding, design, &amp; technology. We help organizations grow by connecting them to people. ... Digital ...",,,False,,,
"All Digital Solutions, Inc.","All Digital Solutions, Inc. is a Shorewood, Illinois-based IT firm, providing services to small and mid-sized enterprises in the Midwest ...",,,False,,,
Fulcrum Global Technologies,Fulcrum GT utilizes industry and technology expertise to deliver end-to-end solutions that enable professional services firms to run as an intelligent ...,,,False,,,
SUM Global Technology,"SUM Global Technology, as a certified Google Cloud Partner can help you architect and develop your cloud first applications ...",,,False,,,
CloudKite,"CloudKite.io is a software engineering and services company with a mission to help our clients build and maintain highly automated, reliably ...",,,False,,Google Cloud Platform,"NA_REGION, GLOBAL_REGION"
CloudWerx,CloudWerx is an engineering-based Google Cloud-exclusive consulting firm focused on business acceleration and cloud transformation for digital ...,Infrastructure - Services,,False,"Lead Management, Solution Providers Accelerator Initaitive","Google Cloud Platform, Google Workspace","NA_REGION, GLOBAL_REGION"
Enterprise Digital Technology Services,EDTS is a professional services company specializes in data science and digital product development dedicated to maximize organization ...,Data Analytics - Services,,False,,"Google Cloud Platform, Professional Services Organization, Google Workspace","APAC_REGION, GLOBAL_REGION"
Nexer,Tech is at the heart of everything we do. Getting the most out of current and future technologies for our partners. We have ...,,"Data Lake Modernization, Vertex AI, Data Science Development, Retail & Wholesale, Data processing, Government, Advertising & Marketing, Media & Entertainment, Small & Medium Business, Google Maps Platform, Google Cloud Analytics, Industrial Goods & Manufacturing, Business & Professional Services, Marketing science",False,,Google Cloud Platform,EMEA_REGION
Smartnet Magna Global,"Smartnet Magna Global (SMG), one of Indonesia&#39;s most reputable IT service providers, was established in 2017. SMG has ...",,"Google Cloud Compute, Financial Services",False,,"Google Cloud Platform, Google Workspace, Chrome, Google Workspace for Education",APAC_REGION
NOS,"NOS is the biggest communications and entertainment group in Portugal. It is leader in Pay TV, new generation broad band ...",,"Google Cloud Productivity, Work Transformation, Business & Professional Services",False,,"Google Cloud Platform, Professional Services Organization, Google Workspace","EMEA_REGION, GLOBAL_REGION"
"INNOVE COMMUNICATIONS, INC.",Innove Communications Inc. enables large corporations to catapult their business toward success through its enterprise ICT arm Globe Business ...,,"Google Cloud Productivity, Telecommunications, Business & Professional Services",False,Marketing Co-op Funds,"Google Workspace, Google Cloud Platform, Professional Services Organization","APAC_REGION, GLOBAL_REGION"
Fastly,"Fastly &amp; Google Cloud: Combining the best of cloud with the best of the edge. Today, expectations for digital experiences ...",,"Content Delivery, Media & Entertainment, Retail & Wholesale, Cloud Natives, Application Security, Data integrations, Google Cloud Analytics",False,ISV Solution Connect,Google Cloud Platform,GLOBAL_REGION
P.T. EBconnection Indonesia,Google Cloud Partner and IT Solution ... Infinite Ideas ... Case Study: Excellent outcomes with Google Workspace- Facilitating ...,Work Transformation - SMB,"Google Maps Platform, Google Cloud Productivity",False,"Actifio Initiative, Marketing Co-op Funds","Google Workspace, Google Maps Platform, Google Cloud Platform","APAC_REGION, GLOBAL_REGION"
GOOD ID,"Good iD, l&#39;idée d&#39;après. Organiser | Migrer | Accompagner | Former. Pour des usages collaboratifs qui font sens. Good ID ...",,"Media & Entertainment, Google Cloud Productivity, Work Transformation, Retail & Wholesale, Google Meet, Productive Meeting Experiences",False,,"Google Workspace, Chrome, Google Workspace for Education","EMEA_REGION, GLOBAL_REGION"
Scout IoT/GPS,"Scout GPS/IoT devices utilize cellular connectivity to provide precision GPS location, as well as collecting data from or reporting on nearby ...",,,False,,Google Cloud Platform,GLOBAL_REGION
VirtualZ Computing Corporation,"VirtualZ Computing™ is delivering the most innovative, high-performance, no-code solutions to connect Google Cloud and IBM Z mainframes and ...",,,False,,Google Cloud Platform,GLOBAL_REGION
Prolifics,Our experience across multiple industries means we understand – and will help you meet your customers&#39; demands and expectations ...,,,False,,Google Cloud Platform,NA_REGION
Visulate,In 2001 Peter Goldthorp developed a tool called eTRM while working at Oracle. It provided technical reference information ...,,,False,,Google Cloud Platform,GLOBAL_REGION
"Tranquility Internet Services, Incorporated","Let Tranquility Internet Services show you how G Suite can help your business. Experience improved collaboration, security ...",,,False,,Google Workspace,NA_REGION
Inzata Analytics,"Inzata Analytics: An AI-powered, end-to-end data analytics software solution for every industry. Inzata takes unrefined data ...",,,False,,Google Cloud Platform,GLOBAL_REGION
Entrust,Entrust enables confidence by delivering a higher standard of trust. We make secure interactions possible with trusted identities ...,,,False,,Google Cloud Platform,GLOBAL_REGION
CapStorm,"Incremental replication of Salesforce data, metadata, and structure to GCP within 3 minutes of live Salesforce production ...",,,False,,Google Cloud Platform,GLOBAL_REGION
"Shared2you, Inc.","We are a mobile data company, who has built a complete technology stack in order to deliver our proprietary targeting data through a fully ...",,,False,,Google Cloud Platform,GLOBAL_REGION
Cart.com,"Fully integrated commerce. Cart.com&#39;s integrated set of software, services, and infrastructure equip direct-to-consumer and ...",,,False,,Google Cloud Platform,GLOBAL_REGION
Integrate Tecnologia,Integrate Tecnologia é uma revendedora oficial do G Suite que pode ajudá-lo a reconhecer os benefícios do uso das ferramentas da Google ...,,,False,,Google Workspace,LATAM_REGION
care.ai,care.ai&#39;s ambient intelligent monitoring™ platform and AI-powered IoMT edge sensors enable healthcare organizations to build self-aware ...,,,False,,Google Cloud Platform,GLOBAL_REGION
Cetus Digital,Almost no organization we talk to is fully satisfied with the current state of their Product Engineering. That&#39;s why we started Cetus Digital ...,,,False,,Google Cloud Platform,GLOBAL_REGION
Essential Consulting,Helping small companies improve their business through secure technolgies ... Improving your business through secure technology ...,,,False,,Google Workspace,NA_REGION
DeCurtis Corporation,"DeCurtis Corporation is the first choice for agile, product-focused SaaS software solutions powering any indoor, complex environment ...",,,False,,Google Cloud Platform,GLOBAL_REGION
ArcStone,"We&#39;re the people you&#39;ve been hoping to find - a service oriented team of experts that can design, program, host and market your website ...",,,False,,Google Workspace,NA_REGION
Vivacity Tech PBC,Vivacity Tech is the first and only Public Benefit Corporation in America to provide technology to schools. We deliver top ...,,,False,,"Google Workspace for Education, Chrome, Google Workspace",NA_REGION
Lufthansa Industry Solutions,"Founded in 1995, Lufthansa Industry Solutions is a service provider for IT consulting and system integration that helps business with the digital ...",,,False,,Google Cloud Platform,EMEA_REGION
"Object Partners, Inc.","Object Partners is a company of technologists, strategists, visionaries, and doers - passionate about modernizing and innovating the software ...",,,False,,Google Cloud Platform,NA_REGION
AGREGA S. DE R.L. DE C.V.,Nos enfocamos en: Cloud y Colaboración (GCP y GSuite); ITO (Operaciones de IT) NOC 24x7; Endpoints (Gestión de ciclo ...,,,False,Actifio Initiative,"Google Workspace, Google Cloud Platform, Google Workspace for Education",LATAM_REGION
GlobalLogic,"GlobalLogic is a leader in digital engineering. We help brands across the globe design and build innovative products, platforms ...",,"Media & Entertainment, Custom-built app migration, Content Delivery, VM Migration, Cloud Native Application Development",False,,Google Cloud Platform,"NA_REGION, APAC_REGION, GLOBAL_REGION"
Ennova Research,"Ennova Research, a leading digital transformation company, has the right experience and ability to solve the hardest business problems and win ...",,"Vertex AI, Google Cloud ML & ML APIs, Google Cloud Productivity, Microsoft on Google Cloud, VM Migration",False,,"Google Cloud Platform, Google Workspace","EMEA_REGION, GLOBAL_REGION"
Nublify Brasil,"A Nublify é uma empresa com foco em tecnologias de Cloud Computing, apoiando nossos clientes na transformação de sua infraestrutura ...",Infrastructure - Services,"Google Cloud Compute, Google Cloud Networking, Amazon AWS, Google Cloud Storage & Delivery",False,,"Google Cloud Platform, Google Workspace, Google Workspace for Education",LATAM_REGION
Infogain Corporation,"Infogain is a Silicon Valley headquartered company with software platform engineering and deep domain expertise in travel, retail, insurance and ...",,"Google Cloud ML & ML APIs, Modernize Legacy Applications, Work Transformation, Mainframe Modernization",False,,Google Cloud Platform,"NA_REGION, APAC_REGION, EMEA_REGION, GLOBAL_REGION"
"BlueVector AI, LLC.",100% dedicated to providing Google Cloud Platform solutions for Government and Healthcare. Steward of BlueVectors ...,,"Google Cloud Productivity, CCAI Integration, Google Cloud Databases, Government",False,,Google Cloud Platform,NA_REGION
Infolinks Vietnam,Infolinks là Đối tác uỷ quyền chính thức của Google tại Việt Nam từ năm 2012 được Google chứng nhận đáp ứng đầy đủ các yêu cầu chuyên môn ...,,"Education, Retail & Wholesale, Industrial Goods & Manufacturing, Telecommunications, Work Transformation, Google Cloud Productivity, Productive Meeting Experiences",False,,"Google Workspace for Education, Google Workspace","APAC_REGION, GLOBAL_REGION"
Qbiz,Qbiz is the premier boutique big data consulting company. We deliver purpose-built solutions that empower organizations ...,,"Google Cloud Analytics, Financial Services, Consumer Packaged Goods, Retail & Wholesale, Amazon AWS, Google Cloud Databases, Open Source Technology, Data processing, Looker Embedded Analytics, Looker BI Modernization, Data integrations",False,,Google Cloud Platform,NA_REGION
RW3 Tecnologia,Apaixonados por tecnologia. We are tech lovers. A RW3 não acredita apenas no poder da tecnologia. Nós acreditamos ...,Work Transformation - Enterprise,"Google Cloud Productivity, Government, Enterprise content management, Google Meet, Productive Meeting Experiences, Work Transformation",False,,"Google Cloud Platform, Google Workspace, Google Workspace for Education","LATAM_REGION, GLOBAL_REGION"
"Netenrich, Inc.","Netenrich Services for Chronicle SecOps. At Netenrich, we&#39;ve mastered the art of Google Chronicle SecOps. We&#39;ve harnessed ...",,,False,"SecOps MSSP and Technology Integration Initiative, ISV Solution Connect, SecOps Reseller Initiative","Google Cloud Platform, Google Workspace, Chrome","GLOBAL_REGION, NA_REGION"
Zelarsoft Private Limited,"At Zelar, we believe end goal of Technology is to solve a business problem. You define the problem and we tell you how technology can solve it ...",,,False,,"Chrome, Google Cloud Platform, Google Workspace, Google Workspace for Education",APAC_REGION
In & Out Technologies Inc,"In &amp; Out Technologies is a team of IT professionals who work together with our clients to provide the best, most efficient set of business technology ...",,,False,,"Chrome, Google Workspace",NA_REGION
Intel,"Intel Corporation, a Google Cloud Technology Alliance partner, is known for being a market leader and one of the world&#39;s best-known chip ...",,,False,Anthos Ready Partner Initiative,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
株式会社KIYONO,株式会社KIYONOは2017年に設立されたマーケティング支援企業です。 CDP、MA、CRM、SFA、デジタル広告やEコマースサイト ...,,"Google Cloud Analytics, Retail & Wholesale, Healthcare & Life Sciences, Advertising & Marketing, Consumer Packaged Goods, Data Warehouse Modernization, Data Lake Modernization, Data processing, Data integrations",False,,Google Cloud Platform,"JAPAN_REGION, GLOBAL_REGION"
Lineout | Tech to be better,"Con más de 10 años de experiencia en proyectos digitales, hemos participado en el despliegue de Google Workspace en organizaciones en ...",,"Financial Services, Supply Chain & Logistics, Work Transformation, Business & Professional Services, Retail & Wholesale, Google Meet, Google Cloud Productivity, Small & Medium Business, Healthcare & Life Sciences",False,,"Google Workspace for Education, Google Workspace, Chrome, Google Cloud Platform","LATAM_REGION, GLOBAL_REGION"
